original_title,profit,profit_margin,budget,domestic_opening_weekend_revenue,domestic_gross_revenue,worldwide_gross_revenue
Cats (2019),-22150795.08480896,-0.28664503893103493,99426840.63373719,6928344.836905872,28432695.90866729,77276045.54892823
Emo the Musical (2016),-3503420.854,-inf,3503420.854,0.0,0.0,0.0
Sunday School Musical (2008),0.0,,0.0,0.0,0.0,0.0
Paul Blart: Mall Cop 2 (2015),88189854.93421051,0.7211590766554611,34099190.28340081,27009326.422064777,80744825.27327935,122289045.21761133
Waterworld (1995),157782773.32283467,0.3376686891615575,309488188.9763779,37442376.283464566,156063787.496063,467270962.2992126
Battlefield Earth (2000),-67778354.8828452,-1.4557904730333517,114336122.73361227,18088441.358437933,33629989.198047414,46557767.85076708
Striking Distance (1993),-10991470.69601328,-0.24440706429979864,55963455.14950166,16240236.518272426,44971984.45348838,44971984.45348838
Twilight (2008),465012660.02787066,0.9094092931350375,46322185.0613155,87183034.5819398,242831501.87179488,511334845.08918613
The Twilight Saga: New Moon (2009),830348562.8221477,0.9296790321358399,62807606.2639821,179427685.51565996,374102519.14876956,893156169.0861298
The Lizzie McGuire Movie (2003),56420069.054758795,0.6938837339810033,24890482.398956977,25386469.185136896,62569482.353324644,81310551.45371577
Gigli (2003),-68425094.25423728,-6.431660718814996,79063885.2672751,5495698.453715776,8913050.411994785,10638791.01303781
Anon (2018),-20128633.800762627,-15.698100841500793,21410867.49285033,0.0,0.0,1282233.6920877022
Step Sisters (2018),-10705433.746425165,-inf,10705433.746425165,0.0,0.0,0.0
Rip Tide (2017),-2690041.869268293,-12.498177671899498,2905276.5970731713,0.0,0.0,215234.72780487806
Starship Troopers (1997),27217855.56203288,0.13376612082904982,176255605.38116592,37028403.705530636,92012773.34977578,203473460.9431988
The Clique (2008),0.0,,0.0,0.0,0.0,0.0
The Last Airbender (2010),209668524.05170515,0.5308305052916986,185313531.35313532,49818477.81848185,162794462.04730472,394982055.40484047
Sleepover (2004),204083.48919949122,0.01410053138009556,14269377.382465057,5952079.794155018,13465141.003811942,14473460.871664548
The Adventures of Sharkboy and Lavagirl 3-D (2005),30341218.13882065,0.30548470534945554,68980343.98034397,17245085.995085992,54049802.373464376,99321562.11916462
The Roommate (2011),29354587.188900746,0.6048665817195673,19176093.9167556,17980746.109925292,44704268.9434365,48530681.10565635
Mortal Kombat (1995),184270894.74015749,0.8526955728145424,31833070.866141733,41177645.82834645,124598349.69133858,216103965.60629922
Ghost Rider (2007),154332425.1608796,0.519101281786132,142974537.03703701,58994980.12499999,150516568.6435185,297306962.1979166
Sex and the City 2 (2010),235650931.53465346,0.6560560591477643,123542354.23542354,38300440.0550055,117794783.40594059,359193285.770077
The Adventures of Pluto Nash (2002),-139096317.76133332,-13.076630077282104,149733333.3333333,3268528.9333333336,6618333.12,10637015.572
Scooby-Doo (2002),286964985.9586667,0.695266512706844,125776000.0,81088553.83466667,229532461.56266665,412740985.9586667
Silent Hill (2006),67654245.95833334,0.5030074757118511,66845238.0952381,26942104.230952382,62811304.44761904,134499484.05357143
Resident Evil (2002),104790666.70133334,0.679564555808212,49412000.0,26513440.050666668,60072577.60933334,154202666.70133334
Yinz (2018),0.0,,0.0,0.0,0.0,0.0
The Anomaly (2014),287347.9097363083,1.0,0.0,0.0,0.0,287347.9097363083
Birdemic: Shock and Terror (2010),-12354.235423542354,-inf,12354.235423542354,0.0,0.0,0.0
Super Mario Bros. (1993),-50524805.323920265,-1.2949525626133578,89541528.23920266,15917168.818936879,39016722.9152824,39016722.9152824
Trolls World Tour (2020),-46248713.74020055,-1.0079403331159627,92133090.2461258,0.0,0.0,45884376.50592525
The Rocky Horror Picture Show (1975),561802001.7723215,0.9894049314163993,6016071.428571429,0.0,565973545.7008929,567818073.2008929
Street Fighter (1994),117272116.17179902,0.6479998860726488,63703403.565640196,12484947.949756889,60834058.48136143,180975519.73743922
A Very Country Christmas (2017),0.0,,0.0,0.0,0.0,0.0
Santa Girl (2019),0.0,,0.0,0.0,0.0,0.0
We Can Be Heroes (2020),0.0,,0.0,0.0,0.0,0.0
Spice World (1997),7289582.684603885,0.147996196109737,41965620.328849025,17671256.06278027,49255203.01345291,49255203.01345291
Star Trek IV: The Voyage Home (1986),208168155.87746167,0.7721330205029603,61433260.39387309,41484376.85776805,269601416.27133477,269601416.27133477
I Know Who Killed Me (2007),-3028775.1921296306,-0.2409824527149491,15597222.222222222,4557366.658564814,9746594.98611111,12568447.030092591
Jungle 2 Jungle (1997),46879992.5470852,0.46602249400268175,53715994.02092675,21506620.001494765,100595986.56801195,100595986.56801195
Howard the Duck (1986),2365853.8336980194,0.025361002333496373,90921225.38293217,12458999.404814003,40044101.09846827,93287079.21663019
She's All That (1999),150758686.81123918,0.9030697697303156,16181556.195965417,25996365.835734867,102537649.34726223,166940243.0072046
Hackers (1995),-21993595.993700787,-1.6441987337461106,35370078.74015748,5611641.611023623,13376482.746456692,13376482.746456692
Batman & Robin (1997),190032284.01494768,0.4752465881351776,209828101.64424512,71967018.55754857,180206739.03736922,399860385.6591928
My Brother the Pig (1999),0.0,,0.0,0.0,0.0,0.0
Catwoman (2004),-25538790.82973315,-0.21799150302331666,142693773.82465056,23870400.956797965,57366291.76238882,117154982.99491741
